"caseID","eventType","timeStamp","source","lifecycle:transition","Sheet","FileName","Url","Label","Value","Column","Row"
"4","insertValue","2019-02-21T16:12:14.066Z","Web","complete",,,,"username","Frank01",,
"4","insertValue","2019-02-21T16:12:16.152Z","Web","complete",,,,"password","LittleFrank123",,
"4","clickButton","2019-02-21T16:12:21.962Z","Web","complete",,,,"confirm",,,
"4","waitResponse","2019-02-21T16:12:27.056Z","Web","complete",,,"www.webpage.com/wrong",,,,
"4","insertValue","2019-02-21T16:12:34.409Z","Excel","complete",,,,,"Wrong log-in","A","10"
"4","insertValue","2019-02-21T16:12:37.395Z","Excel","complete",,,,,"Wrong log-in","B","10"
"4","insertValue","2019-02-21T16:12:39.830Z","Excel","complete",,,,,"Wrong log-in","C","10"
"4","clickButton","2019-02-21T16:12:42.726Z","Web","complete",,,,"cancel",,,
"5","openFile","2019-02-21T16:12:52.726Z","Excel","complete","Sheet1","data.xls",,,,,
"5","goToUrl","2019-02-21T16:12:57.139Z","Web","complete",,,"www.webpage.com",,,,
"5","insertValue","2019-02-21T16:13:08.944Z","Web","complete",,,,"username","Frank01",,
"5","insertValue","2019-02-21T16:13:15.528Z","Web","complete",,,,"password","LittleFrank123",,
"5","clickButton","2019-02-21T16:13:23.313Z","Web","complete",,,,"confirm",,,
"5","waitResponse","2019-02-21T16:13:25.953Z","Web","complete",,,"www.webpage.com/error",,,,
"5","goToUrl","2019-02-21T16:13:33.908Z","Web","complete",,,"www.webpage.com",,,,
"5","insertValue","2019-02-21T16:13:35.676Z","Web","complete",,,,"username","Frank01",,
"5","insertValue","2019-02-21T16:13:46.745Z","Web","complete",,,,"password","LittleFrank123",,
"5","clickButton","2019-02-21T16:13:55.513Z","Web","complete",,,,"confirm",,,
"5","waitResponse","2019-02-21T16:13:58.048Z","Web","complete",,,"www.webpage.com/ok",,,,
"5","clickButton","2019-02-21T16:14:05.379Z","Web","complete",,,,"Button1",,,
"5","clickButton","2019-02-21T16:14:08.243Z","Web","complete",,,,"B2",,,
"5","insertValue","2019-02-21T16:14:11.372Z","Web","complete",,,,"ID","182381",,
"5","copy","2019-02-21T16:14:13.476Z","Excel","complete",,,,,"Au 58124829 XT","B","1"
"5","paste","2019-02-21T16:14:16.073Z","Web","complete",,,,"Special code","Au 58124829 XT",,
"5","copy","2019-02-21T16:14:20.557Z","Excel","complete",,,,,"Melbourne 123","B","2"
"5","paste","2019-02-21T16:14:23.827Z","Web","complete",,,,"Area","Melbourne 123",,
"5","clickButton","2019-02-21T16:14:28.545Z","Web","complete",,,,"OK",,,
"6","openFile","2019-02-21T16:14:38.545Z","Excel","complete","Sheet1","data.xls",,,,,
"6","goToUrl","2019-02-21T16:14:38.545Z","Web","complete",,,"www.webpage.com",,,,
"6","insertValue","2019-02-21T16:14:42.692Z","Web","complete",,,,"username","Frank01",,
"6","insertValue","2019-02-21T16:14:52.754Z","Web","complete",,,,"password","LittleFrank123",,
"6","clickButton","2019-02-21T16:15:03.739Z","Web","complete",,,,"confirm",,,
"6","waitResponse","2019-02-21T16:15:06.876Z","Web","complete",,,"www.webpage.com/wrong",,,,
"6","insertValue","2019-02-21T16:15:14.619Z","Excel","complete",,,,,"Wrong log-in","A","10"
"6","insertValue","2019-02-21T16:15:16.626Z","Excel","complete",,,,,"Wrong log-in","B","10"
"6","insertValue","2019-02-21T16:15:19.933Z","Excel","complete",,,,,"Wrong log-in","C","10"
"6","clickButton","2019-02-21T16:15:22.534Z","Web","complete",,,,"cancel",,,
"7","openFile","2019-02-21T16:15:32.534Z","Excel","complete","Sheet1","data.xls",,,,,
"7","goToUrl","2019-02-21T16:15:44.686Z","Web","complete",,,"www.webpage.com",,,,
"7","insertValue","2019-02-21T16:15:57.462Z","Web","complete",,,,"username","Frank01",,
"7","insertValue","2019-02-21T16:16:06.950Z","Web","complete",,,,"password","LittleFrank123",,
"7","clickButton","2019-02-21T16:16:21.536Z","Web","complete",,,,"confirm",,,
"7","waitResponse","2019-02-21T16:16:25.882Z","Web","complete",,,"www.webpage.com/wrong",,,,
"7","insertValue","2019-02-21T16:16:36.912Z","Excel","complete",,,,,"Wrong log-in","A","10"
"7","insertValue","2019-02-21T16:16:38.994Z","Excel","complete",,,,,"Wrong log-in","B","10"
"7","insertValue","2019-02-21T16:16:42.554Z","Excel","complete",,,,,"Wrong log-in","C","10"
"7","clickButton","2019-02-21T16:16:44.703Z","Web","complete",,,,"cancel",,,
"8","openFile","2019-02-21T16:16:54.703Z","Excel","complete","Sheet1","data.xls",,,,,
"8","goToUrl","2019-02-21T16:17:10.512Z","Web","complete",,,"www.webpage.com",,,,
"8","insertValue","2019-02-21T16:17:10.512Z","Web","complete",,,,"username","Frank01",,
"8","insertValue","2019-02-21T16:17:16.364Z","Web","complete",,,,"password","LittleFrank123",,
"8","clickButton","2019-02-21T16:17:32.916Z","Web","complete",,,,"confirm",,,
"8","waitResponse","2019-02-21T16:17:34.543Z","Web","complete",,,"www.webpage.com/error",,,,
"8","goToUrl","2019-02-21T16:17:49.023Z","Web","complete",,,"www.webpage.com",,,,
"8","insertValue","2019-02-21T16:17:56.217Z","Web","complete",,,,"username","Frank01",,
"8","insertValue","2019-02-21T16:18:07.478Z","Web","complete",,,,"password","LittleFrank123",,
"8","clickButton","2019-02-21T16:18:15.294Z","Web","complete",,,,"confirm",,,
"8","waitResponse","2019-02-21T16:18:18.655Z","Web","complete",,,"www.webpage.com/ok",,,,
"8","clickButton","2019-02-21T16:18:30.352Z","Web","complete",,,,"Button1",,,
"8","clickButton","2019-02-21T16:18:33.905Z","Web","complete",,,,"B2",,,
"8","insertValue","2019-02-21T16:18:36.926Z","Web","complete",,,,"ID","182381",,
"8","copy","2019-02-21T16:18:39.988Z","Excel","complete",,,,,"Au 58124829 XT","B","1"
"8","paste","2019-02-21T16:18:42.226Z","Web","complete",,,,"Special code","Au 58124829 XT",,
"8","copy","2019-02-21T16:18:43.491Z","Excel","complete",,,,,"Melbourne 123","B","2"
"8","paste","2019-02-21T16:18:46.585Z","Web","complete",,,,"Area","Melbourne 123",,
"8","clickButton","2019-02-21T16:18:49.100Z","Web","complete",,,,"OK",,,
"9","openFile","2019-02-21T16:18:59.100Z","Excel","complete","Sheet1","data.xls",,,,,
"9","goToUrl","2019-02-21T16:19:09.169Z","Web","complete",,,"www.webpage.com",,,,
"9","insertValue","2019-02-21T16:19:19.953Z","Web","complete",,,,"username","Frank01",,
"9","insertValue","2019-02-21T16:19:28.363Z","Web","complete",,,,"password","LittleFrank123",,
"9","clickButton","2019-02-21T16:19:41.039Z","Web","complete",,,,"confirm",,,
"9","waitResponse","2019-02-21T16:19:44.610Z","Web","complete",,,"www.webpage.com/ok",,,,
"9","clickButton","2019-02-21T16:19:53.809Z","Web","complete",,,,"Button1",,,
"9","clickButton","2019-02-21T16:19:56.297Z","Web","complete",,,,"B2",,,
"9","insertValue","2019-02-21T16:19:57.265Z","Web","complete",,,,"ID","182381",,
"9","copy","2019-02-21T16:20:01.588Z","Excel","complete",,,,,"Au 58124829 XT","B","1"
"9","paste","2019-02-21T16:20:03.824Z","Web","complete",,,,"Special code","Au 58124829 XT",,
"9","copy","2019-02-21T16:20:08.050Z","Excel","complete",,,,,"Melbourne 123","B","2"
"9","paste","2019-02-21T16:20:11.669Z","Web","complete",,,,"Area","Melbourne 123",,
"9","clickButton","2019-02-21T16:20:13.736Z","Web","complete",,,,"OK",,,
"10","openFile","2019-02-21T16:20:23.736Z","Excel","complete","Sheet1","data.xls",,,,,
"10","goToUrl","2019-02-21T16:20:34.553Z","Web","complete",,,"www.webpage.com",,,,
"10","insertValue","2019-02-21T16:20:40.290Z","Web","complete",,,,"username","Frank01",,
"10","insertValue","2019-02-21T16:20:49.206Z","Web","complete",,,,"password","LittleFrank123",,
"10","clickButton","2019-02-21T16:20:58.628Z","Web","complete",,,,"confirm",,,
"10","waitResponse","2019-02-21T16:21:00.415Z","Web","complete",,,"www.webpage.com/ok",,,,
"10","clickButton","2019-02-21T16:21:03.515Z","Web","complete",,,,"Button1",,,
"10","clickButton","2019-02-21T16:21:08.513Z","Web","complete",,,,"B2",,,
"10","insertValue","2019-02-21T16:21:13.921Z","Web","complete",,,,"ID","182381",,
"10","copy","2019-02-21T16:21:16.873Z","Excel","complete",,,,,"Au 58124829 XT","B","1"
"10","paste","2019-02-21T16:21:20.126Z","Web","complete",,,,"Special code","Au 58124829 XT",,
"10","copy","2019-02-21T16:21:24.216Z","Excel","complete",,,,,"Melbourne 123","B","2"
"10","paste","2019-02-21T16:21:28.566Z","Web","complete",,,,"Area","Melbourne 123",,
"10","clickButton","2019-02-21T16:21:31.991Z","Web","complete",,,,"OK",,,
"11","openFile","2019-02-21T16:21:41.991Z","Excel","complete","Sheet1","data.xls",,,,,
"11","goToUrl","2019-02-21T16:21:51.769Z","Web","complete",,,"www.webpage.com",,,,
"11","insertValue","2019-02-21T16:21:57.496Z","Web","complete",,,,"username","Frank01",,
"11","insertValue","2019-02-21T16:22:09.182Z","Web","complete",,,,"password","LittleFrank123",,
"11","clickButton","2019-02-21T16:22:18.937Z","Web","complete",,,,"confirm",,,
"11","waitResponse","2019-02-21T16:22:23.419Z","Web","complete",,,"www.webpage.com/wrong",,,,
"11","insertValue","2019-02-21T16:22:30.515Z","Excel","complete",,,,,"Wrong log-in","A","10"
"11","insertValue","2019-02-21T16:22:34.408Z","Excel","complete",,,,,"Wrong log-in","B","10"
"11","insertValue","2019-02-21T16:22:37.400Z","Excel","complete",,,,,"Wrong log-in","C","10"
"11","clickButton","2019-02-21T16:22:40.204Z","Web","complete",,,,"cancel",,,
"12","openFile","2019-02-21T16:22:50.204Z","Excel","complete","Sheet1","data.xls",,,,,
"12","goToUrl","2019-02-21T16:22:59.927Z","Web","complete",,,"www.webpage.com",,,,
"12","insertValue","2019-02-21T16:23:02.577Z","Web","complete",,,,"username","Frank01",,
"12","insertValue","2019-02-21T16:23:15.783Z","Web","complete",,,,"password","LittleFrank123",,
"12","clickButton","2019-02-21T16:23:17.276Z","Web","complete",,,,"confirm",,,
"12","waitResponse","2019-02-21T16:23:22.379Z","Web","complete",,,"www.webpage.com/wrong",,,,
"12","insertValue","2019-02-21T16:23:33.160Z","Excel","complete",,,,,"Wrong log-in","A","10"
"12","insertValue","2019-02-21T16:23:36.587Z","Excel","complete",,,,,"Wrong log-in","B","10"
"12","insertValue","2019-02-21T16:23:40.284Z","Excel","complete",,,,,"Wrong log-in","C","10"
"12","clickButton","2019-02-21T16:23:41.579Z","Web","complete",,,,"cancel",,,
"13","openFile","2019-02-21T16:23:51.579Z","Excel","complete","Sheet1","data.xls",,,,,
"13","goToUrl","2019-02-21T16:23:51.709Z","Web","complete",,,"www.webpage.com",,,,
"13","insertValue","2019-02-21T16:24:07.847Z","Web","complete",,,,"username","Frank01",,
"13","insertValue","2019-02-21T16:24:07.847Z","Web","complete",,,,"password","LittleFrank123",,
"13","clickButton","2019-02-21T16:24:28.446Z","Web","complete",,,,"confirm",,,
"13","waitResponse","2019-02-21T16:24:31.190Z","Web","complete",,,"www.webpage.com/error",,,,
"13","goToUrl","2019-02-21T16:24:38.088Z","Web","complete",,,"www.webpage.com",,,,
"13","insertValue","2019-02-21T16:24:41.143Z","Web","complete",,,,"username","Frank01",,
"13","insertValue","2019-02-21T16:24:53.661Z","Web","complete",,,,"password","LittleFrank123",,
"13","clickButton","2019-02-21T16:24:59.984Z","Web","complete",,,,"confirm",,,
"13","waitResponse","2019-02-21T16:25:01.791Z","Web","complete",,,"www.webpage.com/ok",,,,
"13","clickButton","2019-02-21T16:25:21.013Z","Web","complete",,,,"Button1",,,
"13","clickButton","2019-02-21T16:25:24.657Z","Web","complete",,,,"B2",,,
"13","insertValue","2019-02-21T16:25:28.531Z","Web","complete",,,,"ID","182381",,
"13","copy","2019-02-21T16:25:32.783Z","Excel","complete",,,,,"Au 58124829 XT","B","1"
"13","paste","2019-02-21T16:25:34.195Z","Web","complete",,,,"Special code","Au 58124829 XT",,
"13","copy","2019-02-21T16:25:36.718Z","Excel","complete",,,,,"Melbourne 123","B","2"
"13","paste","2019-02-21T16:25:40.471Z","Web","complete",,,,"Area","Melbourne 123",,
"13","clickButton","2019-02-21T16:25:43.214Z","Web","complete",,,,"OK",,,
"14","openFile","2019-02-21T16:25:53.214Z","Excel","complete","Sheet1","data.xls",,,,,
"14","goToUrl","2019-02-21T16:25:55.552Z","Web","complete",,,"www.webpage.com",,,,
"14","insertValue","2019-02-21T16:26:06.045Z","Web","complete",,,,"username","Frank01",,
"14","insertValue","2019-02-21T16:26:15.315Z","Web","complete",,,,"password","LittleFrank123",,
"14","clickButton","2019-02-21T16:26:20.031Z","Web","complete",,,,"confirm",,,
"14","waitResponse","2019-02-21T16:26:22.077Z","Web","complete",,,"www.webpage.com/ok",,,,
"14","clickButton","2019-02-21T16:26:27.794Z","Web","complete",,,,"Button1",,,
"14","clickButton","2019-02-21T16:26:29.542Z","Web","complete",,,,"B2",,,
"14","insertValue","2019-02-21T16:26:31.678Z","Web","complete",,,,"ID","182381",,
"14","copy","2019-02-21T16:26:33.067Z","Excel","complete",,,,,"Au 58124829 XT","B","1"
"14","paste","2019-02-21T16:26:37.360Z","Web","complete",,,,"Special code","Au 58124829 XT",,
"14","copy","2019-02-21T16:26:40.533Z","Excel","complete",,,,,"Melbourne 123","B","2"
"14","paste","2019-02-21T16:26:44.131Z","Web","complete",,,,"Area","Melbourne 123",,
"14","clickButton","2019-02-21T16:26:47.299Z","Web","complete",,,,"OK",,,
"15","openFile","2019-02-21T16:26:57.299Z","Excel","complete","Sheet1","data.xls",,,,,
"15","goToUrl","2019-02-21T16:27:05.398Z","Web","complete",,,"www.webpage.com",,,,
"15","insertValue","2019-02-21T16:27:19.472Z","Web","complete",,,,"username","Frank01",,
"15","insertValue","2019-02-21T16:27:26.359Z","Web","complete",,,,"password","LittleFrank123",,
"15","clickButton","2019-02-21T16:27:39.366Z","Web","complete",,,,"confirm",,,
"15","waitResponse","2019-02-21T16:27:43.972Z","Web","complete",,,"www.webpage.com/error",,,,
"15","goToUrl","2019-02-21T16:27:55.352Z","Web","complete",,,"www.webpage.com",,,,
"15","insertValue","2019-02-21T16:28:11.839Z","Web","complete",,,,"username","Frank01",,
"15","insertValue","2019-02-21T16:28:16.922Z","Web","complete",,,,"password","LittleFrank123",,
"15","clickButton","2019-02-21T16:28:32.454Z","Web","complete",,,,"confirm",,,
"15","waitResponse","2019-02-21T16:28:34.886Z","Web","complete",,,"www.webpage.com/ok",,,,
"15","clickButton","2019-02-21T16:28:48.323Z","Web","complete",,,,"Button1",,,
"15","clickButton","2019-02-21T16:28:49.607Z","Web","complete",,,,"B2",,,
"15","insertValue","2019-02-21T16:28:53.808Z","Web","complete",,,,"ID","182381",,
"15","copy","2019-02-21T16:28:56.901Z","Excel","complete",,,,,"Au 58124829 XT","B","1"
"15","paste","2019-02-21T16:28:58.915Z","Web","complete",,,,"Special code","Au 58124829 XT",,
"15","copy","2019-02-21T16:29:02.315Z","Excel","complete",,,,,"Melbourne 123","B","2"
"15","paste","2019-02-21T16:29:06.839Z","Web","complete",,,,"Area","Melbourne 123",,
"15","clickButton","2019-02-21T16:29:10.097Z","Web","complete",,,,"OK",,,
"16","openFile","2019-02-21T16:29:20.097Z","Excel","complete","Sheet1","data.xls",,,,,
"16","goToUrl","2019-02-21T16:29:24.180Z","Web","complete",,,"www.webpage.com",,,,
"16","insertValue","2019-02-21T16:29:32.557Z","Web","complete",,,,"username","Frank01",,
"16","insertValue","2019-02-21T16:29:43.124Z","Web","complete",,,,"password","LittleFrank123",,
"16","clickButton","2019-02-21T16:29:43.124Z","Web","complete",,,,"confirm",,,
"16","waitResponse","2019-02-21T16:29:45.457Z","Web","complete",,,"www.webpage.com/ok",,,,
"16","clickButton","2019-02-21T16:29:48.885Z","Web","complete",,,,"Button1",,,
"16","clickButton","2019-02-21T16:29:49.827Z","Web","complete",,,,"B2",,,
"16","insertValue","2019-02-21T16:29:53.015Z","Web","complete",,,,"ID","182381",,
"16","copy","2019-02-21T16:29:54.897Z","Excel","complete",,,,,"Au 58124829 XT","B","1"
"16","paste","2019-02-21T16:29:58.255Z","Web","complete",,,,"Special code","Au 58124829 XT",,
"16","copy","2019-02-21T16:30:01.915Z","Excel","complete",,,,,"Melbourne 123","B","2"
"16","paste","2019-02-21T16:30:04.848Z","Web","complete",,,,"Area","Melbourne 123",,
"16","clickButton","2019-02-21T16:30:07.104Z","Web","complete",,,,"OK",,,
"17","openFile","2019-02-21T16:30:17.104Z","Excel","complete","Sheet1","data.xls",,,,,
"17","goToUrl","2019-02-21T16:30:30.363Z","Web","complete",,,"www.webpage.com",,,,
"17","insertValue","2019-02-21T16:30:47.188Z","Web","complete",,,,"username","Frank01",,
"17","insertValue","2019-02-21T16:30:50.715Z","Web","complete",,,,"password","LittleFrank123",,
"17","clickButton","2019-02-21T16:31:08.781Z","Web","complete",,,,"confirm",,,
"17","waitResponse","2019-02-21T16:31:12.850Z","Web","complete",,,"www.webpage.com/ok",,,,
"17","clickButton","2019-02-21T16:31:29.341Z","Web","complete",,,,"Button1",,,
"17","clickButton","2019-02-21T16:31:29.711Z","Web","complete",,,,"B2",,,
"17","insertValue","2019-02-21T16:31:34.162Z","Web","complete",,,,"ID","182381",,
"17","copy","2019-02-21T16:31:37.172Z","Excel","complete",,,,,"Au 58124829 XT","B","1"
"17","paste","2019-02-21T16:31:41.329Z","Web","complete",,,,"Special code","Au 58124829 XT",,
"17","copy","2019-02-21T16:31:43.826Z","Excel","complete",,,,,"Melbourne 123","B","2"
"17","paste","2019-02-21T16:31:45.420Z","Web","complete",,,,"Area","Melbourne 123",,
"17","clickButton","2019-02-21T16:31:48.286Z","Web","complete",,,,"OK",,,
"18","openFile","2019-02-21T16:31:58.286Z","Excel","complete","Sheet1","data.xls",,,,,
"18","goToUrl","2019-02-21T16:32:11.801Z","Web","complete",,,"www.webpage.com",,,,
"18","insertValue","2019-02-21T16:32:28.210Z","Web","complete",,,,"username","Frank01",,
"18","insertValue","2019-02-21T16:32:51.622Z","Web","complete",,,,"password","LittleFrank123",,
"18","clickButton","2019-02-21T16:32:52.581Z","Web","complete",,,,"confirm",,,
"18","waitResponse","2019-02-21T16:32:55.372Z","Web","complete",,,"www.webpage.com/ok",,,,
"18","clickButton","2019-02-21T16:32:57.596Z","Web","complete",,,,"Button1",,,
"18","clickButton","2019-02-21T16:32:59.836Z","Web","complete",,,,"B2",,,
"18","insertValue","2019-02-21T16:33:03.276Z","Web","complete",,,,"ID","182381",,
"18","copy","2019-02-21T16:33:04.141Z","Excel","complete",,,,,"Au 58124829 XT","B","1"
"18","paste","2019-02-21T16:33:06.814Z","Web","complete",,,,"Special code","Au 58124829 XT",,
"18","copy","2019-02-21T16:33:08.328Z","Excel","complete",,,,,"Melbourne 123","B","2"
"18","paste","2019-02-21T16:33:11.708Z","Web","complete",,,,"Area","Melbourne 123",,
"18","clickButton","2019-02-21T16:33:13.342Z","Web","complete",,,,"OK",,,
"19","openFile","2019-02-21T16:33:23.342Z","Excel","complete","Sheet1","data.xls",,,,,
"19","goToUrl","2019-02-21T16:33:36.340Z","Web","complete",,,"www.webpage.com",,,,
"19","insertValue","2019-02-21T16:33:38.683Z","Web","complete",,,,"username","Frank01",,
"19","insertValue","2019-02-21T16:33:41.120Z","Web","complete",,,,"password","LittleFrank123",,
"19","clickButton","2019-02-21T16:33:48.854Z","Web","complete",,,,"confirm",,,
"19","waitResponse","2019-02-21T16:33:51.829Z","Web","complete",,,"www.webpage.com/error",,,,
"19","goToUrl","2019-02-21T16:33:56.835Z","Web","complete",,,"www.webpage.com",,,,
"19","insertValue","2019-02-21T16:33:59.477Z","Web","complete",,,,"username","Frank01",,
"19","insertValue","2019-02-21T16:33:59.477Z","Web","complete",,,,"password","LittleFrank123",,
"19","clickButton","2019-02-21T16:34:09.605Z","Web","complete",,,,"confirm",,,
"19","waitResponse","2019-02-21T16:34:12.246Z","Web","complete",,,"www.webpage.com/ok",,,,
"19","clickButton","2019-02-21T16:34:17.409Z","Web","complete",,,,"Button1",,,
"19","clickButton","2019-02-21T16:34:19.867Z","Web","complete",,,,"B2",,,
"19","insertValue","2019-02-21T16:34:22.132Z","Web","complete",,,,"ID","182381",,
"19","copy","2019-02-21T16:34:23.599Z","Excel","complete",,,,,"Au 58124829 XT","B","1"
"19","paste","2019-02-21T16:34:27.031Z","Web","complete",,,,"Special code","Au 58124829 XT",,
"19","copy","2019-02-21T16:34:31.855Z","Excel","complete",,,,,"Melbourne 123","B","2"
"19","paste","2019-02-21T16:34:33.969Z","Web","complete",,,,"Area","Melbourne 123",,
"19","clickButton","2019-02-21T16:34:36.402Z","Web","complete",,,,"OK",,,
"20","openFile","2019-02-21T16:34:46.402Z","Excel","complete","Sheet1","data.xls",,,,,
"20","goToUrl","2019-02-21T16:34:57.484Z","Web","complete",,,"www.webpage.com",,,,
"20","insertValue","2019-02-21T16:35:02.901Z","Web","complete",,,,"username","Frank01",,
"20","insertValue","2019-02-21T16:35:08.311Z","Web","complete",,,,"password","LittleFrank123",,
"20","clickButton","2019-02-21T16:35:08.311Z","Web","complete",,,,"confirm",,,
"20","waitResponse","2019-02-21T16:35:10.644Z","Web","complete",,,"www.webpage.com/wrong",,,,
"20","insertValue","2019-02-21T16:35:14.946Z","Excel","complete",,,,,"Wrong log-in","A","10"
"20","insertValue","2019-02-21T16:35:19.814Z","Excel","complete",,,,,"Wrong log-in","B","10"
"20","insertValue","2019-02-21T16:35:21.981Z","Excel","complete",,,,,"Wrong log-in","C","10"
"20","clickButton","2019-02-21T16:35:24.318Z","Web","complete",,,,"cancel",,,
"21","openFile","2019-02-21T16:35:34.318Z","Excel","complete","Sheet1","data.xls",,,,,
"21","goToUrl","2019-02-21T16:35:47.320Z","Web","complete",,,"www.webpage.com",,,,
"21","insertValue","2019-02-21T16:35:59.722Z","Web","complete",,,,"username","Frank01",,
"21","insertValue","2019-02-21T16:36:05.636Z","Web","complete",,,,"password","LittleFrank123",,
"21","clickButton","2019-02-21T16:36:19.823Z","Web","complete",,,,"confirm",,,
"21","waitResponse","2019-02-21T16:36:23.083Z","Web","complete",,,"www.webpage.com/error",,,,
"21","goToUrl","2019-02-21T16:36:30.659Z","Web","complete",,,"www.webpage.com",,,,
"21","insertValue","2019-02-21T16:36:38.404Z","Web","complete",,,,"username","Frank01",,
"21","insertValue","2019-02-21T16:36:48.351Z","Web","complete",,,,"password","LittleFrank123",,
"21","clickButton","2019-02-21T16:36:53.515Z","Web","complete",,,,"confirm",,,
"21","waitResponse","2019-02-21T16:36:57.867Z","Web","complete",,,"www.webpage.com/error",,,,
"21","goToUrl","2019-02-21T16:37:01.490Z","Web","complete",,,"www.webpage.com",,,,
"21","insertValue","2019-02-21T16:37:08.169Z","Web","complete",,,,"username","Frank01",,
"21","insertValue","2019-02-21T16:37:15.512Z","Web","complete",,,,"password","LittleFrank123",,
"21","clickButton","2019-02-21T16:37:25.046Z","Web","complete",,,,"confirm",,,
